filename,start,end,pseudo_labels
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:40,00:00:45,24279;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:45,00:00:50,24279;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:50,00:00:55,65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:55,00:01:00,24279;65380
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:00,00:00:05,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:05,00:00:10,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:10,00:00:15,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:30,00:00:35,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:35,00:00:40,22973;65380
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:45,00:00:50,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:50,00:00:55,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:55,00:01:00,22973;65380
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:00,00:00:05,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:05,00:00:10,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:10,00:00:15,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:30,00:00:35,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:35,00:00:40,22973;65380
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:45,00:00:50,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:50,00:00:55,22973
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:55,00:01:00,22973;65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:00,00:00:05,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:05,00:00:10,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:10,00:00:15,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:15,00:00:20,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:30,00:00:35,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:35,00:00:40,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:40,00:00:45,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:55,00:01:00,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:00,00:00:05,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:05,00:00:10,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:10,00:00:15,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:15,00:00:20,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:30,00:00:35,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:35,00:00:40,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:40,00:00:45,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:55,00:01:00,65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:00,00:00:05,65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:05,00:00:10,24279;24321;555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:10,00:00:15,24279;24321;555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:15,00:00:20,24279;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:20,00:00:25,65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:25,00:00:30,555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:30,00:00:35,65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:35,00:00:40,24279;24321;555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:40,00:00:45,24279;555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:45,00:00:50,555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:50,00:00:55,24279;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:55,00:01:00,24279;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:00,00:00:05,65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:05,00:00:10,24279;24321;555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:10,00:00:15,24279;24321;555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:15,00:00:20,24279;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:20,00:00:25,65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:25,00:00:30,555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:30,00:00:35,65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:35,00:00:40,24279;24321;555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:40,00:00:45,24279;555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:45,00:00:50,555146;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:50,00:00:55,24279;65380
BC2026_Train_0046_S22_20220127_230000.ogg,00:00:55,00:01:00,24279;65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:00,00:00:05,65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:05,00:00:10,555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:10,00:00:15,555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:15,00:00:20,24321;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:20,00:00:25,24279;24321;555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:30,00:00:35,555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:35,00:00:40,555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:40,00:00:45,555146;65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:55,00:01:00,555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:00,00:00:05,65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:05,00:00:10,555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:10,00:00:15,555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:15,00:00:20,24321;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:20,00:00:25,24279;24321;555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:30,00:00:35,555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:35,00:00:40,555146;65380;66971
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:40,00:00:45,555146;65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0049_S22_20220203_221500.ogg,00:00:55,00:01:00,555146;65380;66971
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:00,00:00:05,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:05,00:00:10,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:10,00:00:15,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:15,00:00:20,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:30,00:00:35,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:35,00:00:40,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:40,00:00:45,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:55,00:01:00,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:00,00:00:05,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:05,00:00:10,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:10,00:00:15,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:15,00:00:20,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:30,00:00:35,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:35,00:00:40,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:40,00:00:45,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0056_S22_20220221_214500.ogg,00:00:55,00:01:00,65380
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:05,00:00:10,22973
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:20,00:00:25,22973
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:30,00:00:35,65380
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:35,00:00:40,22973
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:40,00:00:45,22973;65380
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:55,00:01:00,22973;65380
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:05,00:00:10,22973
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:20,00:00:25,22973
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:30,00:00:35,65380
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:35,00:00:40,22973
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:40,00:00:45,22973;65380
BC2026_Train_0044_S22_20220124_023000.ogg,00:00:55,00:01:00,22973;65380
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:00,00:00:05,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:05,00:00:10,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:15,00:00:20,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:20,00:00:25,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:25,00:00:30,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:30,00:00:35,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:35,00:00:40,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:40,00:00:45,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:45,00:00:50,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:50,00:00:55,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:55,00:01:00,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:00,00:00:05,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:05,00:00:10,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:15,00:00:20,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:20,00:00:25,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:25,00:00:30,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:30,00:00:35,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:35,00:00:40,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:40,00:00:45,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:45,00:00:50,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:50,00:00:55,22973
BC2026_Train_0018_S22_20211028_234500.ogg,00:00:55,00:01:00,22973
BC2026_Train_0033_S22_20211216_200000.ogg,00:00:00,00:00:05,65380
BC2026_Train_0033_S22_20211216_200000.ogg,00:00:05,00:00:10,65380
BC2026_Train_0033_S22_20211216_200000.ogg,00:00:20,00:00:25,23158
BC2026_Train_0033_S22_20211216_200000.ogg,00:00:00,00:00:05,65380
BC2026_Train_0033_S22_20211216_200000.ogg,00:00:05,00:00:10,65380
BC2026_Train_0033_S22_20211216_200000.ogg,00:00:20,00:00:25,23158
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:00,00:00:05,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:15,00:00:20,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:25,00:00:30,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:35,00:00:40,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:40,00:00:45,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:50,00:00:55,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:55,00:01:00,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:00,00:00:05,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:15,00:00:20,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:25,00:00:30,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:35,00:00:40,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:40,00:00:45,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:50,00:00:55,22973
BC2026_Train_0028_S22_20211129_190000.ogg,00:00:55,00:01:00,22973
BC2026_Train_0025_S22_20211127_024500.ogg,00:00:00,00:00:05,22967;22973
BC2026_Train_0025_S22_20211127_024500.ogg,00:00:55,00:01:00,22973
BC2026_Train_0025_S22_20211127_024500.ogg,00:00:00,00:00:05,22967;22973
BC2026_Train_0025_S22_20211127_024500.ogg,00:00:55,00:01:00,22973
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:00,00:00:05,24279;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:05,00:00:10,24279;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:10,00:00:15,23158;24279;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:15,00:00:20,24279;24321;555146;65380;66971
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:20,00:00:25,23158;24279;24321;555146;65380;66971
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:25,00:00:30,24321;555146;65380;66971
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:30,00:00:35,23158;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:35,00:00:40,24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:40,00:00:45,24279;24321;555146;65380;66971
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:45,00:00:50,23158;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:50,00:00:55,24279;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:55,00:01:00,23158;24279;24321;65380;66971
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:00,00:00:05,24279;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:05,00:00:10,24279;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:10,00:00:15,23158;24279;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:15,00:00:20,24279;24321;555146;65380;66971
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:20,00:00:25,23158;24279;24321;555146;65380;66971
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:25,00:00:30,24321;555146;65380;66971
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:30,00:00:35,23158;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:35,00:00:40,24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:40,00:00:45,24279;24321;555146;65380;66971
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:45,00:00:50,23158;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:50,00:00:55,24279;24321;65380
BC2026_Train_0035_S22_20211223_213000.ogg,00:00:55,00:01:00,23158;24279;24321;65380;66971
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:00,00:00:05,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:05,00:00:10,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:10,00:00:15,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:15,00:00:20,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:20,00:00:25,23158;24279;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:25,00:00:30,65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:30,00:00:35,23158;24279;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:35,00:00:40,23158
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:45,00:00:50,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:50,00:00:55,23158
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:00,00:00:05,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:05,00:00:10,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:10,00:00:15,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:15,00:00:20,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:20,00:00:25,23158;24279;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:25,00:00:30,65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:30,00:00:35,23158;24279;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:35,00:00:40,23158
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:45,00:00:50,23158;65380
BC2026_Train_0034_S22_20211222_013000.ogg,00:00:50,00:00:55,23158
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:00,00:00:05,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:05,00:00:10,24279;65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:10,00:00:15,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:15,00:00:20,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:30,00:00:35,24279;65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:35,00:00:40,23158;65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:40,00:00:45,24279;65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:55,00:01:00,24279;65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:00,00:00:05,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:05,00:00:10,24279;65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:10,00:00:15,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:15,00:00:20,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:30,00:00:35,24279;65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:35,00:00:40,23158;65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:40,00:00:45,24279;65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0040_S22_20220101_014500.ogg,00:00:55,00:01:00,24279;65380
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:00,00:00:05,24279;555146;65380
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:05,00:00:10,24279;555146;65380
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:10,00:00:15,555146;65380
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:15,00:00:20,24279;24321;555146;65380
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:20,00:00:25,24279;65380;66971
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:25,00:00:30,24321;555146;65380;66971
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:30,00:00:35,24279;24321;65380;66971
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:35,00:00:40,65380;66971
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:40,00:00:45,65380;66971
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:45,00:00:50,24279;65380;66971
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:50,00:00:55,24279;65380;66971
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:55,00:01:00,24279;65380;66971
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:00,00:00:05,24279;555146;65380
BC2026_Train_0052_S22_20220210_210000.ogg,00:00:05,00:00:10,24279;555146;65380
